episode,timestep,reward
1424,142500,-70.9989
1429,143000,-71.553
1434,143500,-79.2106
1439,144000,-64.9455
1444,144500,-70.3267
1449,145000,-63.0402
1454,145500,-72.2234
1459,146000,-62.2624
1464,146500,-53.148
1469,147000,-62.9851
1474,147500,-59.4715
1479,148000,-60.64
1484,148500,-58.9942
1489,149000,-64.2384
1494,149500,-89.0292
1499,150000,-95.7088
1504,150500,-94.1502
1509,151000,-92.0702
1514,151500,-79.0922
1519,152000,-70.3627
1524,152500,-73.419
1529,153000,-74.1462
1534,153500,-62.1434
1539,154000,-59.3463
1544,154500,-58.824
1549,155000,-47.5887
1554,155500,-51.0249
1559,156000,-51.6724
1564,156500,-52.7828
1569,157000,-52.101
1574,157500,-50.4942
1579,158000,-47.3693
1584,158500,-65.4313
1589,159000,-78.6773
1594,159500,-69.1522
1599,160000,-68.2546
1604,160500,-64.8369
1609,161000,-67.197
1614,161500,-70.01
1619,162000,-72.3666
1624,162500,-70.8533
1629,163000,-67.2075
1634,163500,-66.0209
1639,164000,-68.6933
1644,164500,-70.772
1649,165000,-75.4838
1654,165500,-70.3683
1659,166000,-71.6089
1664,166500,-65.3035
1669,167000,-73.5157
1674,167500,-61.3036
1679,168000,-68.8111
1684,168500,-68.8977
1689,169000,-66.0839
1694,169500,-67.4275
1699,170000,-66.0796
1704,170500,-61.3142
1709,171000,-66.8027
1714,171500,-61.726
1719,172000,-56.4244
1724,172500,-58.5961
1729,173000,-62.4026
1734,173500,-57.2257
1739,174000,-54.2444
1744,174500,-58.7189
1749,175000,-49.5242
1754,175500,-57.0874
1759,176000,-55.6055
1764,176500,-48.9698
1769,177000,-51.2177
1774,177500,-72.9481
1779,178000,-66.2415
1784,178500,-67.3766
1789,179000,-65.2526
1794,179500,-70.935
1799,180000,-73.0667
1804,180500,-69.7853
1809,181000,-73.2788
1814,181500,-84.0244
1819,182000,-80.1606
1824,182500,-68.0474
1829,183000,-69.9837
1834,183500,-83.781
1839,184000,-83.8348
1844,184500,-74.0455
1849,185000,-82.1844
1854,185500,-70.9215
1859,186000,-73.1463
1864,186500,-62.618
1869,187000,-65.5829
1874,187500,-62.1488
1879,188000,-63.2596
1884,188500,-66.9732
1889,189000,-68.649
1894,189500,-59.583
1899,190000,-66.6136
1904,190500,-59.9496
1909,191000,-63.7155
1914,191500,-70.3855
1919,192000,-76.5586
1924,192500,-69.2097
1929,193000,-71.6576
1934,193500,-64.8517
1939,194000,-66.8175
1944,194500,-64.2105
1949,195000,-71.0089
