episode,timestep,reward
86,500,5.7442
172,1000,5.8721
260,1500,5.6818
348,2000,5.5682
430,2500,6.1585
509,3000,6.3038
588,3500,6.4051
672,4000,5.9643
760,4500,5.625
840,5000,6.3
848,5500,60.5
853,6000,89.6
854,6500,122.0
855,7500,1000.0
856,8500,1000.0
857,9500,1000.0
858,10500,1000.0
859,11500,1000.0
862,12500,462.3333
866,13000,120.5
872,13500,86.6667
884,14000,43.9167
896,14500,42.5833
908,15000,42.0833
920,15500,40.3333
932,16000,41.25
944,16500,41.75
956,17000,43.1667
967,17500,46.2727
978,18000,45.2727
989,18500,45.1818
1000,19000,45.8182
1011,19500,45.6364
1021,20000,48.6
1031,20500,50.8
1040,21000,54.3333
1049,21500,54.3333
1058,22000,55.0
1067,22500,56.3333
1075,23000,61.875
1082,23500,67.2857
1084,24000,73.0
1085,25000,1000.0
1086,26000,1000.0
1087,27000,1000.0
1088,28000,1000.0
1089,29000,1000.0
1090,30000,1000.0
1091,31000,1000.0
1092,32000,1000.0
1093,33000,1000.0
1094,34000,1000.0
1095,35000,1000.0
1096,36000,1000.0
1097,37000,1000.0
1098,38000,1000.0
1099,39000,1000.0
1100,40000,1000.0
1101,41000,1000.0
1102,42000,1000.0
1103,43000,1000.0
1104,44000,1000.0
1105,45000,1000.0
1106,46000,1000.0
1107,47000,1000.0
1108,48000,1000.0
1109,49000,1000.0
1110,50000,1000.0
1111,51000,1000.0
1112,52000,1000.0
1113,53000,1000.0
1114,54000,1000.0
1115,55000,1000.0
1116,56000,1000.0
1117,57000,1000.0
1118,58000,1000.0
1119,59000,1000.0
1120,60000,1000.0
1121,61000,1000.0
1122,62000,1000.0
1123,63000,1000.0
1124,64000,1000.0
1125,65000,1000.0
1126,66000,1000.0
1127,67000,1000.0
1128,68000,1000.0
1129,69000,1000.0
1130,70000,1000.0
1131,71000,1000.0
1132,71500,913.0
1134,72000,95.5
1135,73000,1000.0
1136,74000,1000.0
1137,75000,1000.0
1138,76000,1000.0
1139,77000,1000.0
1140,78000,1000.0
1141,79000,1000.0
1142,80000,1000.0
1143,81000,1000.0
1144,82000,1000.0
1145,83000,1000.0
1146,84000,1000.0
1147,85000,1000.0
1148,86000,1000.0
1149,87000,1000.0
1150,88000,1000.0
1152,89000,583.5
1153,90000,1000.0
1154,91000,1000.0
1155,92000,1000.0
1156,93000,1000.0
1157,94000,1000.0
1158,95000,1000.0
1159,96000,1000.0
1160,97000,1000.0
1161,98000,1000.0
1162,99000,1000.0
1163,100000,1000.0
1164,101000,1000.0
1165,102000,1000.0
1166,103000,1000.0
1167,104000,1000.0
1168,105000,1000.0
1169,106000,1000.0
1170,107000,1000.0
1171,108000,1000.0
1172,109000,1000.0
1173,110000,1000.0
1174,111000,1000.0
1175,112000,1000.0
1176,113000,1000.0
1177,114000,1000.0
1178,115000,1000.0
1179,116000,1000.0
1180,117000,1000.0
1181,118000,1000.0
1182,119000,1000.0
1183,120000,1000.0
1184,121000,1000.0
1185,122000,1000.0
1186,123000,1000.0
1187,124000,1000.0
1188,125000,1000.0
1189,126000,1000.0
1190,127000,1000.0
1191,128000,1000.0
1192,129000,1000.0
1193,130000,1000.0
1194,131000,1000.0
1195,132000,1000.0
1196,133000,1000.0
1197,134000,1000.0
1198,135000,1000.0
1199,136000,1000.0
1200,137000,1000.0
1201,138000,1000.0
1202,139000,1000.0
1203,140000,1000.0
1204,141000,1000.0
1205,142000,1000.0
1206,143000,1000.0
1207,144000,1000.0
1208,145000,1000.0
1209,146000,1000.0
1210,147000,1000.0
1211,148000,1000.0
1212,149000,1000.0
1213,150000,1000.0
1214,151000,1000.0
1215,152000,1000.0
1216,153000,1000.0
1217,154000,1000.0
1218,155000,1000.0
1219,156000,1000.0
1220,157000,1000.0
1221,158000,1000.0
1222,159000,1000.0
1223,160000,1000.0
1224,161000,1000.0
1225,162000,1000.0
1226,163000,1000.0
1227,164000,1000.0
1228,165000,1000.0
1229,166000,1000.0
1230,167000,1000.0
1231,168000,1000.0
1232,169000,1000.0
1233,170000,1000.0
1234,171000,1000.0
1235,172000,1000.0
1236,173000,1000.0
1237,174000,1000.0
1238,175000,1000.0
1239,176000,1000.0
1240,177000,1000.0
1241,178000,1000.0
1242,179000,1000.0
1243,180000,1000.0
1244,181000,1000.0
1245,182000,1000.0
1246,183000,1000.0
1247,184000,1000.0
1248,185000,1000.0
1249,186000,1000.0
1250,187000,1000.0
1251,188000,1000.0
1252,189000,1000.0
1253,190000,1000.0
1254,191000,1000.0
1255,192000,1000.0
1256,193000,1000.0
1257,194000,1000.0
1258,195000,1000.0
1259,196000,1000.0
1260,197000,1000.0
1261,198000,1000.0
1262,199000,1000.0
1263,200000,1000.0
1264,201000,1000.0
1265,202000,1000.0
1266,203000,1000.0
1267,204000,1000.0
1268,205000,1000.0
1269,206000,1000.0
1270,207000,1000.0
1271,208000,1000.0
1272,209000,1000.0
1273,210000,1000.0
1274,211000,1000.0
1275,212000,1000.0
1276,213000,1000.0
1277,214000,1000.0
1278,215000,1000.0
1279,216000,1000.0
1280,217000,1000.0
1281,218000,1000.0
1282,219000,1000.0
1283,220000,1000.0
1284,221000,1000.0
1285,222000,1000.0
1286,223000,1000.0
1287,224000,1000.0
1288,225000,1000.0
1289,226000,1000.0
1290,227000,1000.0
1291,228000,1000.0
1292,229000,1000.0
1293,230000,1000.0
1294,231000,1000.0
1295,232000,1000.0
1296,233000,1000.0
1297,234000,1000.0
1298,235000,1000.0
1299,236000,1000.0
1300,237000,1000.0
1301,238000,1000.0
1302,239000,1000.0
1303,240000,1000.0
1304,241000,1000.0
1305,242000,1000.0
1306,243000,1000.0
1307,244000,1000.0
1308,245000,916.0
1309,246000,1000.0
1310,247000,1000.0
1311,248000,1000.0
1312,249000,1000.0
1313,250000,1000.0
