episode,timestep,reward
834,177500,1192.0944
835,178000,1986.8638
836,178500,1094.4375
837,179000,1066.5105
838,179500,1527.3536
839,180000,1778.467
840,180500,1095.1012
842,181000,1255.0449
843,181500,1088.0499
844,182000,1440.8851
845,182500,1673.1124
846,183000,1917.9002
847,183500,975.233
848,184000,1224.1662
850,184500,1152.7524
851,185000,1045.552
852,185500,1852.6149
853,186000,1404.4958
854,186500,1406.1202
855,187000,1218.7822
857,187500,1112.9287
859,188000,674.9793
860,188500,1046.9898
861,189000,1191.4056
863,189500,1130.3704
864,190000,985.7554
865,190500,1246.754
867,191000,1112.3128
868,191500,1057.1818
870,192000,1083.325
871,192500,875.5427
872,193000,964.7052
874,193500,1089.6557
876,194000,797.6904
877,194500,948.6495
879,195000,998.3497
880,195500,1202.7353
882,196000,894.5127
883,196500,954.5906
884,197000,1700.0962
885,197500,1409.0478
887,198000,1015.5647
888,198500,1294.0715
889,199000,1276.9143
890,199500,890.9955
892,200000,1194.4062
893,200500,1046.9384
895,201000,1004.94
896,201500,1006.6364
897,202000,1098.4333
899,202500,1237.019
900,203000,1334.6606
901,203500,996.7714
903,204000,1068.6186
905,205000,1420.3217
906,205500,1026.6502
907,206000,1025.7205
909,206500,1337.5725
910,207000,957.6352
912,207500,1028.2433
913,208000,1013.3278
915,208500,939.4
916,209000,1031.4491
917,209500,1798.7124
918,210000,1059.5451
920,210500,1028.5571
922,211000,708.0507
923,211500,1821.2455
924,212000,1049.8814
925,212500,1590.3161
927,213000,901.88
928,213500,1056.3931
929,214000,1059.5585
930,214500,1044.0537
932,215000,1272.6001
934,216000,1482.4349
935,216500,1301.6407
936,217000,1404.0847
937,217500,1463.9975
938,218000,1470.2909
940,218500,954.1026
941,219000,1142.8848
942,219500,1768.8296
943,220000,1178.4463
944,220500,1173.1662
945,221000,1521.785
947,221500,1208.939
948,222000,1094.0327
949,222500,1139.137
951,223000,1326.845
952,223500,1080.3366
953,224000,880.2336
955,224500,1162.9772
956,225000,1162.3636
957,225500,2002.5192
958,226000,1097.4522
959,226500,1066.6949
960,227000,1433.5846
961,227500,1922.8702
962,228000,1548.4408
963,228500,1658.1261
964,229000,1614.125
965,229500,1100.0113
966,230000,1594.2276
968,231000,1706.6689
969,231500,1341.7901
970,232000,1533.7441
971,232500,1000.7574
972,233000,1047.7084
973,233500,1539.2969
974,234000,1583.3423
975,234500,1524.0542
977,235000,1125.7407
979,235500,865.4419
980,236000,896.5375
982,236500,1120.9836
983,237000,1556.4942
984,237500,938.4421
986,238000,1131.2234
987,238500,746.8651
988,239000,1140.0034
990,239500,1244.7053
991,240000,1091.8846
992,240500,1096.7093
994,241000,1119.8612
995,241500,1077.8109
996,242000,927.21
997,242500,1396.1377
999,243000,1205.4107
1000,243500,1529.8216
1001,244000,1648.6936
1002,244500,1571.7329
1003,245000,1248.8769
1004,245500,1631.3541
1005,246000,1458.1972
1006,246500,1514.1599
1007,247000,1145.516
1009,247500,1208.1898
1010,248000,960.8182
1011,248500,1094.6165
1012,249000,1539.3192
1014,249500,1249.0123
1015,250000,1491.0756
